,result,table,_start,_stop,_time,_value,Device_Name,Zone,_field,_measurement
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-03-01T04:28:31.174Z,3330,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-03-01T16:22:56.361Z,3330,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-03-02T04:17:21.548Z,3382.0425531914893,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-03-02T16:11:46.735Z,3471.78125,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-03-29T23:04:52.02Z,1003,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-03-30T10:59:17.207Z,1003,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-03-30T22:53:42.394Z,1003,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-03-31T10:48:07.581Z,1003.5102040816327,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-03-31T22:42:32.768Z,1278.276595744681,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-04-01T10:36:57.955Z,1381.2978723404256,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-04-01T22:31:23.142Z,1503.391304347826,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-04-08T21:13:15.76Z,299.8636363636364,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-04-09T09:07:40.947Z,16,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-04-09T21:02:06.134Z,16,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-04-10T08:56:31.321Z,16,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-04-10T20:50:56.508Z,16,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
